duration,views,likes,comments,engagement_level,engagement_label
398,8898,879,84,High,0
461,680603,29621,8869,Medium,2
196,836227,42803,10950,Medium,2
103,426063,16706,6836,Medium,2
552,768330,20329,4959,Low,1
100,754647,17269,11799,Low,1
194,653932,62160,6123,High,0
41,676642,66860,9292,High,0
373,253900,3565,2452,Low,1
529,533803,12560,10154,Low,1
283,928689,44685,4092,Medium,2
221,408324,10930,5645,Low,1
277,612026,26163,7316,Medium,2
66,542840,11735,2324,Low,1
346,457391,23366,1031,Medium,2
401,401436,13830,6496,Medium,2
23,719845,29996,2873,Medium,2
181,990960,18321,4502,Low,1
400,634593,30797,12431,Medium,2
449,18270,1799,267,High,0
237,16359,647,94,Medium,2
80,284343,25272,3476,High,0
269,140821,12094,1569,High,0
459,129494,12390,2207,High,0
388,321502,26076,4776,High,0
568,172209,11945,2893,Medium,2
510,274049,23867,1375,High,0
371,509312,8560,6704,Low,1
148,254699,13156,449,Medium,2
73,43247,4282,99,High,0
103,74380,5895,1082,High,0
400,177225,17117,259,High,0
29,369021,29583,4433,High,0
473,622229,55216,10557,High,0
488,484709,35668,3983,High,0
569,649114,50919,1202,High,0
155,390603,22297,5688,Medium,2
148,76315,7111,1424,High,0
573,637297,53694,9321,High,0
43,357609,30736,4287,High,0
113,273229,19281,1467,High,0
46,274635,10274,354,Medium,2
190,529249,6989,7514,Low,1
402,981186,92436,5288,High,0
227,262068,16444,4535,Medium,2
137,707388,26055,6975,Medium,2
167,296608,6947,3287,Low,1
219,344643,29176,5281,High,0
239,490351,41820,7752,High,0
592,773460,64433,10217,High,0
13,514160,34992,9681,Medium,2
78,224502,9640,4414,Medium,2
496,567311,21198,10773,Medium,2
257,925523,9967,15418,Low,1
234,187068,15905,2695,High,0
523,501954,8969,6828,Low,1
178,348062,23239,1034,Medium,2
172,965000,53428,5942,Medium,2
174,690300,39624,764,Medium,2
397,697715,65169,2519,High,0
198,333404,4282,3115,Low,1
521,128265,10210,485,High,0
33,230414,3383,4177,Low,1
169,401492,5393,6547,Low,1
426,295773,14399,698,Medium,2
343,449722,7050,2576,Low,1
500,668401,54155,11070,High,0
369,526057,30332,8552,Medium,2
346,741242,9349,14056,Low,1
504,903905,12333,18035,Low,1
515,307103,20004,6003,Medium,2
331,580174,47893,5101,High,0
221,706543,34904,4067,Medium,2
305,957680,57376,14757,Medium,2
136,544711,44657,3642,High,0
74,230602,14976,3763,Medium,2
256,781637,23627,8711,Medium,2
419,530409,34569,8531,Medium,2
449,520866,34661,3251,Medium,2
186,302051,22976,3217,High,0
171,390549,25728,4575,Medium,2
95,312599,30394,5914,High,0
535,495755,13760,3006,Low,1
43,637803,60972,11988,High,0
130,962336,56249,15678,Medium,2
455,270955,19095,4033,High,0
177,456395,8649,7279,Low,1
224,8004,354,100,Medium,2
62,588421,46628,3317,High,0
480,756047,55661,3478,High,0
460,873010,11883,15243,Low,1
365,120135,7111,1775,Medium,2
5,745247,13373,3764,Low,1
391,186268,18557,2363,High,0
352,221766,20126,2107,High,0
194,756241,8997,3035,Low,1
509,265337,23158,2946,High,0
195,287162,26633,1823,High,0
512,990347,41415,2801,Medium,2
373,193808,14488,1913,High,0
413,714266,35562,8722,Medium,2
121,140566,9694,265,Medium,2
138,124601,5062,1076,Medium,2
62,784616,30623,4625,Medium,2
560,616898,29733,976,Medium,2
177,93808,2167,317,Low,1
153,622207,52764,2265,High,0
84,235703,9754,1054,Medium,2
217,930884,42833,15140,Medium,2
207,560691,50722,5242,High,0
233,551841,30183,2094,Medium,2
231,515008,30376,1496,Medium,2
536,895418,86036,5964,High,0
445,847227,76085,13693,High,0
406,723909,18280,5736,Low,1
51,523626,27537,2114,Medium,2
237,156937,15288,1361,High,0
309,395656,17216,4570,Medium,2
530,519776,22579,811,Medium,2
147,747175,20586,9657,Low,1
419,562445,11411,4784,Low,1
517,918201,70359,1087,High,0
377,713448,56578,9848,High,0
570,619043,60177,8998,High,0
263,277269,22072,3590,High,0
475,269389,8593,2019,Medium,2
16,625594,8514,6920,Low,1
334,186969,18451,1562,High,0
362,828255,33660,11853,Medium,2
412,597618,22755,7224,Medium,2
377,922434,84435,2356,High,0
12,679390,42569,8980,Medium,2
126,417068,12236,5862,Low,1
352,108238,9743,870,High,0
94,731485,72711,12903,High,0
320,736764,13115,12537,Low,1
182,62140,5443,268,High,0
544,633056,28580,11509,Medium,2
45,723156,41340,6780,Medium,2
506,504888,46618,7447,High,0
149,457964,44699,7541,High,0
205,841562,28272,8918,Medium,2
465,56915,1659,488,Low,1
562,216841,3739,3988,Low,1
551,112889,6836,608,Medium,2
257,429006,4815,2523,Low,1
394,743866,35014,5854,Medium,2
598,844455,14021,14634,Low,1
260,167744,7795,3159,Medium,2
454,185202,2517,959,Low,1
14,330148,28118,5749,High,0
246,768921,22203,4541,Low,1
255,237569,9395,4618,Medium,2
9,757696,66907,9358,High,0
123,684663,52831,776,High,0
378,77188,2293,127,Low,1
69,529996,8729,2015,Low,1
150,570055,42418,2601,High,0
228,579935,26191,9038,Medium,2
243,940089,74217,4919,High,0
181,500912,25083,9724,Medium,2
286,927466,38156,12136,Medium,2
67,914923,46302,12953,Medium,2
221,235007,18182,1207,High,0
465,862480,78658,15491,High,0
109,858412,12428,11750,Low,1
103,57660,3296,1004,Medium,2
515,901595,11680,17286,Low,1
389,214701,11198,727,Medium,2
409,880750,78981,2497,High,0
522,376706,16026,6127,Medium,2
480,683875,64229,11937,High,0
441,982127,65561,11875,Medium,2
27,936927,88140,7452,High,0
569,184386,14408,2470,High,0
462,280241,5411,1907,Low,1
87,121366,3738,671,Medium,2
149,974607,44320,10013,Medium,2
89,3779,95,19,Low,1
82,488341,26635,4976,Medium,2
461,564696,29603,10828,Medium,2
5,206196,19807,3496,High,0
55,695302,34094,13134,Medium,2
450,983012,79335,16043,High,0
453,987136,93552,7640,High,0
492,447254,39773,7347,High,0
38,530083,15255,9825,Low,1
352,226912,12399,4309,Medium,2
99,582887,24071,8149,Medium,2
76,23482,1079,117,Medium,2
555,800767,34010,1405,Medium,2
158,717683,60552,2724,High,0
254,657826,33346,12725,Medium,2
442,158639,9063,1551,Medium,2
122,452632,44548,7805,High,0
310,374712,5769,3685,Low,1
272,6864,370,93,Medium,2
58,746356,59458,1088,High,0
240,638219,15064,3668,Low,1
393,61936,4028,575,Medium,2
405,294167,9281,3818,Medium,2
307,255133,22468,1086,High,0
211,882243,34794,13698,Medium,2
233,16392,649,129,Medium,2
582,911445,58184,15067,Medium,2
79,919218,24378,2630,Low,1
439,283183,10092,3940,Medium,2
107,243872,11583,1603,Medium,2
426,18900,790,304,Medium,2
310,56540,3236,488,Medium,2
102,416562,26646,5682,Medium,2
339,651909,39766,12224,Medium,2
439,446121,30726,620,Medium,2
451,645715,24341,782,Medium,2
312,574036,12271,8975,Low,1
253,901724,70760,11976,High,0
170,450167,38971,2956,High,0
485,949292,31450,9866,Medium,2
339,355742,16591,639,Medium,2
546,816296,44791,3801,Medium,2
110,819002,47501,7424,Medium,2
567,780548,54134,13149,Medium,2
85,169673,2332,1716,Low,1
137,57307,4294,695,High,0
142,62257,969,1095,Low,1
188,134388,7007,922,Medium,2
405,677532,57244,9697,High,0
334,93878,4751,1630,Medium,2
512,130116,3047,631,Low,1
73,648676,63993,5042,High,0
550,168304,15153,3301,High,0
57,110673,8789,2178,High,0
454,120830,5683,633,Medium,2
209,935465,24832,2116,Low,1
130,64286,6089,395,High,0
47,505449,29271,4325,Medium,2
115,791492,68631,7423,High,0
187,18881,770,240,Medium,2
99,237777,9552,4301,Medium,2
378,257606,25425,1874,High,0
524,31226,1778,535,Medium,2
364,238317,5400,661,Low,1
285,415894,12381,746,Low,1
199,515574,27518,5453,Medium,2
199,892566,12337,1904,Low,1
97,280127,14462,2369,Medium,2
65,554170,26436,9996,Medium,2
55,318631,25535,1780,High,0
407,672439,28205,9692,Medium,2
9,820278,80739,5532,High,0
470,261261,6863,484,Low,1
538,66366,4193,768,Medium,2
409,524444,9478,8843,Low,1
517,293701,22335,2578,High,0
237,395559,39369,5034,High,0
528,448347,37536,8115,High,0
350,132873,7974,2126,Medium,2
50,711841,38173,3334,Medium,2
550,705898,60109,10542,High,0
82,336083,31671,3540,High,0
77,80736,7995,1225,High,0
253,369941,16902,3845,Medium,2
51,66583,6603,228,High,0
125,20605,495,243,Low,1
218,399869,13123,4138,Medium,2
243,557913,10048,6048,Low,1
60,211574,7290,3744,Medium,2
354,96108,7603,1730,High,0
111,44448,3856,427,High,0
52,726647,58204,7018,High,0
577,269517,18002,2907,Medium,2
341,326480,18366,3549,Medium,2
30,731029,53937,13931,High,0
261,134707,6085,1796,Medium,2
12,936281,80255,5872,High,0
257,738484,52393,8196,High,0
307,107257,7808,1385,High,0
60,525296,30590,6910,Medium,2
530,252399,22632,3059,High,0
478,201325,6579,881,Medium,2
32,108452,4804,177,Medium,2
82,96067,7684,712,High,0
220,351233,19088,3204,Medium,2
390,559467,50368,1216,High,0
369,212728,8759,3506,Medium,2
530,111989,4842,844,Medium,2
316,262163,23591,4813,High,0
11,311567,16137,1225,Medium,2
7,962924,54358,2004,Medium,2
367,352153,14068,3579,Medium,2
512,46205,1612,212,Medium,2
278,423480,29235,7965,Medium,2
510,133057,2765,159,Low,1
19,975423,86943,8622,High,0
196,1149,92,21,High,0
489,577669,15693,4796,Low,1
32,305515,22138,845,High,0
43,66797,4290,451,Medium,2
277,459667,12230,4809,Low,1
235,36634,1267,165,Medium,2
90,93134,4359,918,Medium,2
478,58197,4244,982,High,0
130,709273,47865,12468,Medium,2
541,287281,16633,556,Medium,2
149,429323,33983,1741,High,0
529,472794,36979,2945,High,0
216,551666,36193,6786,Medium,2
29,663732,53648,5216,High,0
584,510808,20475,8702,Medium,2
398,974787,87060,14248,High,0
71,361417,23615,1051,Medium,2
237,824826,69295,10612,High,0
113,597665,35360,1880,Medium,2
150,980113,29069,5729,Low,1
115,4794,281,20,Medium,2
232,582538,25282,2498,Medium,2
115,591858,43072,7523,High,0
474,545944,28837,6392,Medium,2
38,195643,16678,849,High,0
373,967459,68715,19168,High,0
599,573474,41065,5169,High,0
558,674367,19923,1918,Low,1
429,772787,76183,2543,High,0
522,989299,84833,11964,High,0
286,179659,14554,3521,High,0
324,946762,37604,11235,Medium,2
447,937897,54592,17849,Medium,2
319,963365,21520,9092,Low,1
381,623856,36472,5789,Medium,2
293,819919,18964,8609,Low,1
441,958354,57284,13657,Medium,2
281,592990,40551,4734,Medium,2
586,938860,42359,16349,Medium,2
507,493957,27102,768,Medium,2
520,516404,45861,4831,High,0
354,923198,18252,9886,Low,1
450,526848,42809,6603,High,0
354,72456,1838,452,Low,1
141,841230,11191,7673,Low,1
247,260025,6943,2653,Low,1
547,888278,70044,12481,High,0
44,540579,25116,8485,Medium,2
233,609019,53914,9146,High,0
552,245802,14065,1841,Medium,2
227,797061,9566,15932,Low,1
10,32275,2404,552,High,0
326,279919,5576,1662,Low,1
472,436474,35373,2054,High,0
79,833330,20940,5805,Low,1
8,857442,35232,8226,Medium,2
122,392644,30828,6739,High,0
508,681436,65336,10759,High,0
578,718576,31207,12340,Medium,2
445,340922,28857,2102,High,0
198,62921,1709,772,Low,1
396,510659,42204,3258,High,0
30,12304,851,37,Medium,2
439,973269,26615,13625,Low,1
177,793926,29554,2950,Medium,2
304,246564,5389,3374,Low,1
330,851346,37856,11332,Medium,2
414,33693,954,552,Low,1
122,959568,65212,3503,Medium,2
229,208360,20732,3310,High,0
536,115164,1276,2301,Low,1
117,492592,28906,8457,Medium,2
144,53465,3295,817,Medium,2
563,765032,70596,10390,High,0
5,918047,50988,8275,Medium,2
94,220611,13001,3282,Medium,2
324,492374,25824,7267,Medium,2
554,421496,14415,5478,Medium,2
143,966395,14537,15587,Low,1
515,479971,22452,4572,Medium,2
263,207071,3050,684,Low,1
14,961269,57238,11172,Medium,2
265,103800,3908,626,Medium,2
176,359321,20849,2983,Medium,2
17,396781,8763,528,Low,1
172,68347,6420,565,High,0
325,182731,16538,2990,High,0
323,156370,4237,1768,Low,1
333,841272,34416,997,Medium,2
554,153660,10020,1525,Medium,2
423,693975,12916,4536,Low,1
99,509727,21363,5134,Medium,2
585,290142,9458,2521,Medium,2
322,395235,36518,7393,High,0
240,181242,15718,323,High,0
338,587001,36502,8211,Medium,2
380,96807,5501,1662,Medium,2
463,374021,35070,7190,High,0
141,47103,4423,206,High,0
592,572866,55705,6355,High,0
551,407750,8678,745,Low,1
517,963850,23566,10105,Low,1
300,429965,30487,1454,High,0
324,583418,34263,9871,Medium,2
576,708521,8262,2241,Low,1
353,395315,6158,4250,Low,1
233,146021,13131,1591,High,0
274,469755,41431,9142,High,0
295,770548,32481,10359,Medium,2
169,506320,45667,3275,High,0
9,839332,53239,4679,Medium,2
383,791977,65363,2721,High,0
82,673500,32643,10354,Medium,2
414,508624,10277,7183,Low,1
578,981919,48148,12360,Medium,2
136,786778,40249,1397,Medium,2
46,31253,1862,484,Medium,2
93,791744,15440,10447,Low,1
406,134511,13347,2597,High,0
300,580626,18563,7058,Medium,2
299,412710,11502,2796,Low,1
530,316115,18148,2607,Medium,2
426,887204,51767,3851,Medium,2
27,471038,23355,6940,Medium,2
579,296851,23590,4288,High,0
147,52155,2946,250,Medium,2
149,104609,6786,419,Medium,2
229,135567,10186,333,High,0
507,651766,7985,11945,Low,1
108,408606,25071,2218,Medium,2
43,87787,7863,661,High,0
202,327322,3785,2071,Low,1
583,397007,18447,3517,Medium,2
395,400786,37417,5838,High,0
183,921445,38501,16163,Medium,2
558,102752,5269,459,Medium,2
452,325441,32003,4569,High,0
504,580161,16209,4466,Low,1
19,935380,14847,18361,Low,1
293,519946,45416,3472,High,0
482,202768,17876,230,High,0
235,905475,47525,9776,Medium,2
424,551972,31064,2132,Medium,2
161,769289,65560,1419,High,0
554,397616,30405,5672,High,0
445,789870,26747,11779,Medium,2
101,62701,722,611,Low,1
415,136659,7266,1894,Medium,2
293,36382,3176,408,High,0
258,226237,20502,2933,High,0
200,377691,36281,4659,High,0
526,620186,55296,8465,High,0
521,655351,40765,3141,Medium,2
122,994420,49735,6071,Medium,2
163,895143,71375,8377,High,0
232,159976,12251,1516,High,0
220,665375,38879,10455,Medium,2
19,273402,4882,2181,Low,1
161,205329,19166,839,High,0
265,10647,543,61,Medium,2
161,350957,14985,1782,Medium,2
51,264703,17645,3944,Medium,2
328,946372,66856,9403,High,0
