duration,views,likes,comments
309,633637,49601,5288
125,528047,36799,6233
386,912140,34512,7257
405,772511,28735,11960
78,33534,2343,599
439,26114,1297,71
238,228564,5842,345
277,459667,12230,4809
88,568788,18942,8046
485,187088,3476,1598
576,834472,68171,10952
377,920840,79985,9736
60,125291,6854,129
222,847190,63504,7543
445,340922,28857,2102
153,622207,52764,2265
282,497375,29532,4228
214,448531,12004,1380
336,549853,31685,3241
161,205329,19166,839
315,114936,3858,1529
205,217972,17344,468
298,736748,30053,7076
370,305580,19443,5755
6,791611,12868,5582
391,708387,18237,2223
535,919058,85463,10885
117,428182,31147,1274
286,733871,63424,7647
489,117463,6750,389
445,502476,23311,6047
24,446539,16465,6546
369,226393,2883,2458
220,173720,2646,2264
103,973838,29881,2772
577,389426,9465,6486
506,504888,46618,7447
187,61430,5471,326
501,450280,30507,601
161,25056,1042,348
436,640748,9617,8879
534,705091,20325,7316
401,437609,30432,7258
132,928451,67973,6643
545,673865,9962,4323
561,132101,13135,1538
586,736191,71989,6992
192,204839,10823,1934
369,52594,4195,269
204,228352,20764,3583
336,760235,49564,4076
72,452646,34454,1266
133,891004,82837,11025
498,762472,27599,7273
426,719248,53209,13192
153,318493,22762,436
115,939487,20829,16203
188,478804,7773,8797
85,194053,3434,2429
182,157617,6236,750
220,939636,18644,5344
128,225175,3974,3084
518,960081,53162,13708
131,865045,54087,12419
164,840349,44048,1327
113,797862,49771,9518
22,929688,25595,13418
325,824355,15489,1254
67,86109,7612,834
510,312902,28900,5865
367,352153,14068,3579
292,920935,34712,2541
189,425715,19874,600
198,6502,71,92
351,957772,81050,19018
306,514683,31319,9831
508,525370,44990,4414
423,969857,15364,7642
188,587696,44782,9650
539,316261,6519,5993
475,341194,29265,5074
61,60764,4497,1014
375,345350,20485,5509
365,443988,9916,8077
226,682292,7731,8902
410,175608,9109,2287
51,66583,6603,228
542,843509,58731,8249
169,789225,46040,11946
276,724453,45213,5062
183,245612,7907,1440
232,128924,2166,1237
481,182494,10295,1279
369,868580,78270,2657
142,681769,59094,4476
499,284032,16952,5279
108,331104,22218,1094
537,634257,25086,11749
22,24909,1432,471
485,145406,1571,2847
290,143592,14306,413
228,539718,8788,10123
327,792501,28035,11691
493,528706,27977,5695
136,969027,77536,10051
285,781544,45010,4534
128,828652,13763,16200
259,876711,46985,4756
296,667429,39338,11945
521,655351,40765,3141
422,520240,6223,9381
419,64461,2798,846
132,772893,72952,11411
437,895654,59341,5925
323,729795,24489,7436
177,289769,7118,3401
95,922967,28350,1479
456,902977,9318,3341
337,892384,22536,6743
535,339694,18027,5020
577,444262,27917,1201
26,333490,19577,1587
49,899826,68661,5964
15,83070,8048,884
94,118205,10290,2097
371,480069,42920,8862
442,419894,17769,7649
249,551607,47694,3433
459,869991,39829,870
103,105,9,1
29,663732,53648,5216
540,92054,9036,1366
214,463606,38957,7163
176,842488,70076,13894
457,911136,12950,13857
463,286520,17634,3564
302,599355,37772,8170
212,547157,40789,2958
461,125272,5816,2064
86,127563,5538,2269
284,363233,15155,6899
441,347090,15210,4536
337,32409,2349,268
578,128571,2193,1074
89,3779,95,19
588,977130,79380,8935
552,162876,4606,297
447,433139,22783,2427
587,203723,18369,1313
357,124209,1963,1730
35,157334,13615,680
225,704510,28621,5479
280,129201,8999,1547
384,579986,17625,7964
346,880097,82199,14630
513,694488,28292,11547
27,291140,10312,1223
110,417840,33292,1157
486,376745,34010,1864
429,604246,14311,7658
361,855110,21089,12138
525,531396,34982,1585
181,991696,86837,5584
468,76725,2254,1532
443,177475,8298,1279
203,920648,10007,5927
424,307832,16192,1550
518,311947,23257,2520
525,137937,1510,1150
178,466096,20728,4300
211,909322,56126,14965
386,919263,69481,1368
479,378924,20471,4916
186,436160,28420,8269
564,988082,63786,15524
69,816931,15836,12597
109,858412,12428,11750
399,942645,56099,4024
39,477663,18028,8006
348,384562,28314,5424
297,495744,40452,672
273,279030,23592,465
471,421707,10723,4552
311,305231,8966,4367
287,25096,1344,377
106,45089,3988,299
336,418918,40924,6790
343,527533,27667,9616
454,676869,38684,10746
191,376087,29848,1182
490,700249,25546,6133
276,231460,21941,2827
485,119442,11414,200
140,851690,85159,6662
499,168376,4717,1203
282,609936,47918,3154
349,522217,32952,5885
118,574692,38688,5976
259,808084,56382,1096
524,952445,29276,15479
554,977946,25936,5760
117,599281,25071,9383
231,640863,15323,5184
26,109625,2583,1771
207,59014,2299,118
391,925406,34260,10877
578,310609,26991,3446
98,699645,25034,4929
119,239747,23661,3377
108,408606,25071,2218
132,941969,55122,4772
207,353242,17968,4250
347,511130,10102,7348
554,153660,10020,1525
391,92626,2669,1353
586,676808,23849,1406
480,932993,89230,3927
122,971637,83830,15372
50,770212,29259,12938
371,649186,6721,8385
367,348225,27920,2863
336,347714,8831,5382
174,690300,39624,764
380,86591,3423,1569
571,573781,6720,4229
504,886338,58174,9571
394,620732,17298,9295
394,516998,15939,3550
393,612504,59503,11680
516,337209,24099,4420
432,605607,29392,10411
350,132873,7974,2126
95,395768,30346,7905
136,435969,18795,522
398,159286,3077,3015
394,797060,47913,7067
12,605209,17553,7857
74,230602,14976,3763
565,652695,42660,8159
340,720370,65260,11880
135,229582,9487,4382
369,281972,17922,856
432,642106,7712,9906
101,779012,38622,5756
556,456870,38705,617
375,45804,4125,138
133,576862,50261,6696
101,62701,722,611
424,577645,16575,9423
426,107355,4755,1047
109,247988,18740,255
330,621241,16840,5275
498,880620,57117,1092
230,225671,18999,270
5,138001,9596,389
49,273470,8185,2433
42,345666,26908,4582
406,907607,21066,5831
56,498677,31486,2451
11,674392,22869,7720
217,717203,28125,7957
363,841874,82806,5493
403,126328,7375,1785
208,279187,8205,765
325,182731,16538,2990
564,705151,67157,9028
291,815057,38049,10839
108,677923,62957,4676
97,173553,13462,1503
392,313046,28179,3899
299,102163,9799,898
360,696813,48602,968
144,712021,27259,10769
71,607653,48690,7066
574,733809,23376,5400
312,268717,16520,2245
256,444729,43345,8330
465,795564,25484,7160
259,678200,12009,9033
261,218580,3098,4056
531,364792,27089,1104
11,10007,906,125
249,406301,34364,6758
61,988992,31743,13778
329,806958,63216,12721
487,973020,22950,14898
573,854738,78097,14088
440,665444,15740,7607
322,958144,20881,7042
380,82741,4538,253
194,373687,12497,3947
124,32500,2375,414
382,199648,18707,2685
449,890430,87090,1960
482,33164,2512,508
599,303394,7675,5583
501,542934,35752,3754
295,39009,2823,647
274,421539,10383,6110
552,593047,27239,7731
353,716864,11184,8451
520,251466,6618,256
563,104633,8305,379
283,661554,32473,7190
277,535040,9050,4108
455,939303,53575,7629
314,328543,22686,6482
265,365269,32448,7148
286,628859,7393,2891
433,108906,7063,1916
244,362095,20221,524
278,110501,4237,158
58,710563,32124,7632
103,868696,53511,10796
327,130009,3561,992
277,733938,66516,12639
34,380803,29498,2511
8,312770,16850,5686
436,985155,20177,13047
515,479971,22452,4572
426,79411,4452,267
482,202782,15467,2701
151,529840,25406,3312
188,818818,70933,13665
96,841441,36675,6556
545,16157,778,34
471,768113,13525,7408
402,912146,31240,7484
73,882271,61833,1924
312,754949,34166,12391
401,790488,19321,4413
23,663615,49356,2290
205,866169,45449,11631
284,403539,21120,7776
270,194599,19423,672
331,168182,5583,987
226,196839,3737,2907
480,177271,2456,1165
450,546948,7089,6239
532,134505,11250,1145
282,59647,1706,756
135,145209,3331,2613
463,744126,74270,6513
33,780868,55717,6781
168,89982,1933,331
108,419330,39225,1890
453,581855,6180,11407
554,4938,306,10
409,62508,4089,658
70,898442,15232,8752
113,469384,29249,2458
6,319449,14132,2298
501,49975,4890,578
582,376082,19281,3932
542,886656,69689,10001
232,298589,15377,1538
417,683817,48022,6062
457,26667,452,232
569,628522,58939,12009
192,79894,5207,1084
147,26219,1869,414
551,841181,81789,2296
527,670874,65098,10577
123,481991,26444,5501
469,731520,45220,8216
253,982312,76520,14701
194,134378,5133,1171
306,13249,1258,85
277,405513,40296,1088
412,597618,22755,7224
432,181261,11708,3144
275,804277,56584,8103
411,88871,7551,731
209,791799,44171,5941
526,513379,50786,1170
470,897625,16032,8174
362,828255,33660,11853
60,380460,33834,6024
475,218323,9926,4044
185,743994,47870,2747
514,199404,3277,751
532,407709,22658,3305
347,335043,29446,1520
287,92743,4211,1449
574,295306,16896,969
508,691752,20090,1868
524,124544,1891,223
149,607748,49075,899
165,267529,25106,3374
547,979398,19225,11979
492,169359,5641,2788
512,210091,12168,320
189,531029,31458,764
183,639168,29367,4054
336,681601,33130,1548
33,898037,17322,12379
568,172209,11945,2893
198,421228,12100,5981
137,707388,26055,6975
593,653516,46332,12492
269,25901,1378,121
396,5410,91,5
481,425086,33534,5520
333,680313,31497,11587
69,160987,6577,370
263,593671,10546,6597
233,16392,649,129
218,785188,8503,9407
193,682221,6977,10661
356,707618,69176,6838
335,687637,56457,4086
567,808634,35150,10737
310,834748,60996,3308
170,397000,30621,7624
329,109465,5595,276
267,575357,44994,5125
32,29856,1922,375
391,165469,5210,391
106,556652,54937,1616
436,375679,17910,4747
556,774574,44605,8359
471,444705,9913,5049
383,343388,22675,4118
248,572339,47216,11105
185,550713,28714,8843
153,42292,3716,465
525,532458,49855,3306
58,42737,1971,732
456,896608,67920,1101
288,470323,7974,8180
572,799183,37901,5832
469,880525,64017,10777
353,89344,7085,1125
328,651006,61000,9589
212,420576,5213,5815
467,534496,23220,7930
491,489214,35726,1180
269,111049,8567,1689
582,991906,19003,5200
246,497525,33441,2518
22,295963,15389,2191
18,29633,1387,435
486,370056,15477,2842
548,654611,25322,5409
553,370814,23601,6629
29,383998,15825,4883
557,666595,56817,6877
360,692341,50830,9897
592,234252,22813,4597
94,676789,44719,12531
179,605018,46629,8368
221,451900,15810,4717
175,641727,10662,7630
441,861746,84250,4164
36,128644,11522,498
350,657021,40034,2146
505,982353,74458,19382
452,364911,17345,4362
565,189606,10656,2663
203,278847,14555,1834
500,765227,20908,13089
362,647056,49375,12078
113,320317,26118,3710
438,899179,68829,10968
219,344643,29176,5281
513,6689,211,120
241,795836,60475,12758
116,874093,26230,2098
593,454425,38509,7653
454,986416,81519,16924
297,511901,6389,8810
197,915985,9254,16550
269,289704,27722,5388
181,41391,3404,769
344,220867,12282,1624
133,738127,65681,3138
222,60146,965,1097
107,885804,66041,1429
239,516854,9996,9215
132,706309,59054,12474
472,245715,16875,3603
461,379670,15474,7276
587,809110,65158,15281
46,553103,35811,4087
548,576309,8317,7874
511,559473,53369,3330
488,506457,17887,783
5,745247,13373,3764
94,811889,17983,1169
322,363634,18444,2968
234,307510,24447,3420
265,911072,35007,7525
403,616325,35656,4679
55,318631,25535,1780
491,759012,56002,9126
462,761354,69130,5275
520,414387,15898,5449
68,119474,10833,851
153,790123,23692,12521
392,441257,21570,2005
507,594615,32904,1878
226,823615,25475,4237
393,163323,6361,1702
352,453982,14136,677
15,103531,10181,1317
131,312832,17103,2653
454,220272,6748,1495
269,509722,6303,10103
582,730477,38668,1222
332,351871,23344,1255
570,619043,60177,8998
63,301957,9507,511
92,271686,25481,1845
21,990766,81178,9786
75,68265,3016,155
239,729345,68160,6384
570,659145,17957,11714
492,447254,39773,7347
565,213192,3925,1622
564,933432,34163,6626
39,733182,51797,9154
199,84005,5633,1176
439,893417,38353,6494
427,887124,47117,13033
342,472750,32575,8105
240,538009,5965,7029
145,186602,8021,2555
126,476254,32269,720
34,669715,47785,8332
329,604125,12424,3662
71,361417,23615,1051
558,102752,5269,459
211,127229,4355,1930
155,614869,31489,6497
539,292853,10605,4946
422,20548,1324,48
509,192058,15171,3035
581,325212,21634,5603
180,222282,15898,3528
218,481704,32652,6264
96,255728,21427,1619
478,877852,83767,15447
86,766605,61437,7190
103,108517,2345,289
137,811631,42629,6560
577,119994,9131,2060
459,97280,9594,140
101,63967,4042,535
282,508465,27198,6817
564,407564,35433,4042
43,207046,11126,3973
11,531636,33122,8948
520,114687,3268,725
568,455458,9503,2695
328,312429,15193,1875
586,559521,10303,2261
387,712211,47454,8748
566,699544,18458,13835
118,818938,10333,8785
169,212750,19244,2668
20,824570,65630,5263
169,726199,28301,6581
122,111253,5562,1315
519,569171,32745,1369
52,610455,34914,9653
322,216685,20281,1817
237,980646,92006,2143
548,974190,54639,8842
181,220522,19060,1416
391,252151,23210,1391
322,89507,5588,354
124,396402,33707,4072
255,80394,4407,1058
235,905475,47525,9776
169,373196,6498,6613
118,949137,45043,8531
371,206184,3052,3565
199,892566,12337,1904
422,945524,40473,16356
97,132971,12733,1062
137,123094,11271,590
400,600273,39802,7666
590,670195,52251,11079
292,809916,80740,14484
368,971625,68393,16456
191,267174,17262,4445
306,940391,64213,1156
291,821254,29839,10234
341,428153,32274,2253
182,334448,20458,3239
190,77045,1625,756
39,335114,18523,3757
137,57855,3743,169
422,268013,8332,2298
24,100120,4939,355
445,935610,29483,15805
336,40591,3070,268
431,120484,6497,2002
275,635652,45707,6037
246,884644,15209,11358
501,694352,47190,8942
530,838518,83312,15838
492,646152,35546,9437
504,403136,39383,3116
116,766434,64895,6956
300,541829,43149,1542
199,515574,27518,5453
262,804502,48050,2948
353,891223,24982,8886
134,98680,9328,1105
109,483363,33506,6521
518,443433,20192,8093
292,117716,10385,649
213,230561,8704,739
41,509182,18746,830
382,648037,7467,6502
270,860383,63392,16976
360,479994,5517,2522
379,123654,7039,2038
584,845331,12913,5153
331,700923,59548,9985
130,593765,28872,7514
247,578779,44938,8020
120,444919,30355,1394
189,207637,18594,1918
444,399984,23521,7275
504,811472,50967,8251
465,514216,38291,5089
563,255649,8454,4589
14,961269,57238,11172
241,69172,2520,624
234,15476,779,265
517,83570,7435,240
250,848258,65491,10833
301,311771,28400,1907
499,131116,1848,389
192,799193,71475,14072
454,908960,29830,15512
502,153004,4398,540
130,962336,56249,15678
413,328748,10097,2874
317,594431,25430,5045
489,603910,47049,11949
353,657103,16984,10350
6,406597,34236,1467
218,546688,18003,2813
534,334567,10087,5933
552,732420,55411,6035
357,296347,13586,2366
596,669832,55671,6668
510,133057,2765,159
107,703677,67726,2269
191,607794,17273,1678
134,739668,8994,13592
72,909216,61187,13354
484,687155,19753,4886
223,574794,46912,5414
573,231997,14000,3066
205,912334,24421,8995
69,113494,5102,1404
360,209970,4266,2712
297,481622,5005,5994
94,501872,15472,6715
518,805909,77077,5477
30,264308,15622,4023
377,515440,6823,2898
234,535068,22466,2075
115,247895,5171,481
285,565268,54626,7904
486,530804,50079,1718
13,402711,33333,7763
165,338881,19635,2253
7,9081,326,150
35,634263,24213,2555
9,141968,3545,456
230,571408,27223,9906
439,939405,65832,1967
549,863476,47849,1573
529,528651,14290,2963
128,702709,59800,1098
394,996047,93657,10771
315,5083,250,85
329,305269,29681,1541
569,195446,12040,1620
113,668398,27789,8362
69,361081,13702,2965
243,244513,20648,3743
436,524438,51762,2243
209,737492,45044,8105
386,168661,2447,507
137,616042,58199,3825
84,118378,11131,2361
442,452129,22426,2839
454,164,13,2
431,884829,59072,17307
537,921058,74039,15675
429,111459,10878,905
283,339192,19383,4287
355,257816,11394,566
115,470436,8637,5985
562,605929,10236,11371
277,507509,15766,3274
99,237777,9552,4301
446,559963,32581,4483
221,77438,1470,505
26,179122,13936,1971
7,787060,44246,14766
31,869048,54947,15676
550,458815,28314,4531
12,778193,62567,3663
256,732367,15973,4014
355,443326,10916,6917
292,335515,7761,1783
263,831560,64854,2221
8,614234,49842,8771
368,570081,50339,4478
526,668401,9508,10509
449,320983,29317,1404
102,792371,48476,11241
379,415799,37448,7159
478,607575,27427,9196
315,290932,19416,2654
233,847216,67096,3275
133,123423,11298,2142
385,894130,46924,985
349,953278,31794,10365
498,816486,48492,13125
118,9795,868,122
416,360113,7011,3388
583,346361,12578,1973
73,783203,31911,1442
368,641416,53435,7693
122,480645,38592,3039
23,229276,14696,1467
301,42871,3979,179
557,347089,30486,3325
64,695187,14125,10384
572,938155,33379,6045
583,300306,29673,5141
83,634201,46512,6595
179,456317,27032,1147
450,511415,49553,3106
562,601403,39463,6539
225,728706,11691,5260
228,579935,26191,9038
160,972422,33223,8809
384,125912,8463,605
101,485420,39103,4360
449,656030,56711,7262
553,899455,54865,17385
599,541789,52843,6187
376,982163,92186,16063
256,890036,45205,5693
252,460928,42642,7719
359,974399,56706,17067
348,438966,35486,5904
546,128576,2480,2201
215,988501,86005,19732
209,364623,22017,1602
596,506833,48886,6769
199,799231,34017,9515
360,683935,51727,2851
322,473013,29444,8307
195,597740,25017,2310
579,766881,47239,1482
251,432558,23576,4500
58,877760,19859,11894
260,827741,55499,13154
249,697599,32750,3364
457,376249,16705,5094
232,879477,49101,8960
222,874361,73402,2989
141,47103,4423,206
456,263482,20245,3114
301,285801,19501,2044
197,516953,20565,6692
35,481715,20419,8364
118,983565,84658,10565
237,96459,7902,519
139,773185,30541,8698
392,404281,22219,1945
339,80391,7237,1212
19,273402,4882,2181
352,108238,9743,870
499,185531,5847,2842
384,28465,1114,57
500,460877,41101,1555
187,18881,770,240
435,833709,60874,11386
463,374021,35070,7190
63,866625,42314,870
319,978559,39202,15830
494,519890,7414,7718
590,911010,59783,14906
111,201757,8704,1618
256,89690,5427,782
599,883981,54518,1058
500,974435,95280,10239
440,463279,25960,3095
110,86097,2096,969
202,504969,30106,7975
377,713448,56578,9848
540,729155,13718,6786
207,298488,5836,2854
70,119674,4338,2246
532,817287,58684,3987
500,179915,7876,567
593,824354,28573,3053
553,606084,41152,8173
356,305342,28732,4586
473,67273,4847,79
132,910935,25819,5803
55,282007,24409,3387
282,675334,44899,3572
454,988658,51262,17790
16,611094,52747,2571
475,308168,28985,5128
117,238508,2618,4444
442,63143,1981,549
342,528358,21937,7142
85,832540,49179,9274
442,986391,68981,11291
329,679144,29091,955
37,239290,21574,3744
379,790224,77873,11200
529,786257,16367,3109
364,168869,9037,510
122,749035,68046,3033
132,70153,5277,833
305,546220,16497,3225
44,814746,74739,6710
195,314321,11544,5344
587,170416,12072,1944
468,899783,59561,4622
100,192222,15499,1825
241,825065,19886,5825
476,679690,28731,3099
453,139248,6746,1468
64,108445,9283,1568
547,99429,7574,1596
268,446115,26512,1790
196,879677,56957,8248
483,862734,76231,4344
210,369748,14340,4234
174,370434,27520,6931
532,673826,38782,10898
542,940044,72498,7132
579,659385,62280,2584
402,497821,32166,1425
234,187068,15905,2695
487,780443,13409,7341
391,852228,32583,3493
105,89931,7892,304
242,44023,1953,206
80,318775,22865,3861
587,56790,4934,486
175,309554,4493,5066
174,377489,11569,3382
215,909351,29768,12845
562,403269,30155,3948
44,852124,48540,8503
559,726908,51295,10092
367,824528,62039,8414
286,637674,19970,1579
160,571412,30485,9693
451,95387,6405,420
65,69008,3484,250
415,160194,2914,3195
373,588241,13295,4809
432,286740,18748,2961
69,927115,30712,18330
285,50121,3099,117
439,270287,3131,2875
138,425526,6739,6536
545,567252,37840,4789
449,18270,1799,267
496,497225,30438,9519
454,6653,327,99
86,603932,18931,4715
593,968314,54213,3395
151,68707,2574,1087
448,91105,6896,1195
61,977142,82498,17126
177,793926,29554,2950
346,739918,56142,4041
130,897483,40209,3093
215,820032,58890,2543
345,42182,975,297
385,592152,29857,3734
486,264926,3679,2666
193,415696,31604,2996
512,46205,1612,212
400,492862,16076,4697
50,539586,45092,7309
481,938768,45698,8764
418,721658,25082,7496
442,995461,59589,19242
183,864884,55226,8867
221,673456,42878,7320
174,883881,49715,8989
401,496833,20229,1686
395,345629,18167,5294
544,14044,751,235
164,299360,28717,4081
97,247788,14869,3603
461,564696,29603,10828
541,995318,23139,8666
416,121415,10575,2409
97,148417,9718,1735
380,178910,16071,698
63,252741,25091,2533
150,903117,18814,17954
592,52435,2124,578
433,795163,79160,14295
339,25630,1738,436
434,361185,26086,4519
42,863724,48954,12650
165,663826,18764,3366
91,502965,42119,8048
532,514104,49664,1519
80,284343,25272,3476
335,988698,80392,10137
131,604931,33939,4084
14,425851,34497,3855
170,153405,14472,963
48,363384,36303,3933
431,666167,46328,4404
7,957016,79092,5403
524,259288,23974,3220
93,684216,38090,3250
446,231717,8192,4151
310,924194,68111,11956
138,807884,73777,15617
538,972214,61832,9388
106,260066,18735,2071
226,78691,4565,522
468,751637,60290,6802
553,149040,8176,263
212,819509,10895,10464
306,393445,23824,6535
380,555535,25122,5106
502,417753,18736,8307
503,794231,32222,2453
570,422327,36986,537
175,408375,16858,4122
239,807762,35780,13378
99,582887,24071,8149
190,703432,8423,11611
331,245055,23207,2384
343,786527,30269,10976
42,207035,8637,2600
314,979801,31636,6998
347,931606,58404,5251
118,641524,56992,9373
413,775592,49716,5201
59,709787,31408,1487
581,199495,7841,1639
414,261288,23647,3713
105,125901,10080,1427
95,905743,22273,16620
433,477358,24619,2286
450,47519,2216,866
19,406756,11081,6704
143,674135,41293,3250
489,661901,34463,887
480,452301,27552,2343
247,57253,4204,638
463,193301,5624,1264
6,806875,78269,5409
136,810792,35544,13439
475,944679,48731,8297
551,389401,6719,6954
88,804760,15699,15807
579,617642,38104,1201
449,592979,46139,4409
448,219689,7835,4215
250,489833,23129,6766
227,262068,16444,4535
277,623395,18783,3516
331,379229,27425,7396
211,248851,3498,1221
356,362049,24893,1640
335,609551,22312,2679
468,658060,55638,9006
406,543853,31037,4356
213,57871,3658,597
268,944243,62371,10155
337,984513,27766,1821
225,881480,43127,6737
51,118165,6809,1645
230,372309,26594,4240
191,704081,38703,1939
307,366831,28416,6189
294,925264,10852,9821
151,505196,23729,8163
480,242274,5861,3752
88,85115,5259,925
406,723909,18280,5736
597,526444,42152,2745
534,48342,4227,885
433,903834,41002,2016
546,80736,5225,862
560,554940,49397,1531
385,939973,52123,14935
6,181201,5081,821
189,791452,31398,11827
305,408217,18411,982
429,976546,31932,10980
424,551972,31064,2132
140,181831,10720,1571
457,97475,7261,123
382,917999,28757,16282
339,685946,7257,1726
165,286522,19438,3614
128,132950,5974,1323
544,439190,40572,4404
142,695189,51702,6819
490,303974,14614,5048
225,729163,8077,2074
467,766851,71315,8580
110,824456,78720,2150
449,273116,17839,582
265,368908,19092,593
62,784616,30623,4625
124,31239,1666,482
217,698508,25496,4191
567,39527,1220,110
240,539205,45855,3502
250,78972,6969,647
445,816137,29422,13566
43,746155,9763,13670
598,917284,85970,7664
537,854314,22028,5168
221,336088,21305,2948
301,223493,7839,1505
120,194569,16600,415
391,18177,897,353
397,248849,22607,1337
90,149202,2835,1743
161,937297,49530,11952
304,759203,59838,1143
287,828857,76616,4884
272,352489,27660,2594
124,918937,72100,7601
216,215292,14704,1391
407,572405,9262,10864
370,89463,8564,848
420,57400,4636,416
73,369270,7502,4110
330,8277,651,132
565,108845,6214,941
527,278041,17278,730
500,479525,11227,6129
545,858834,57041,17143
469,797066,72897,1006
105,555739,8669,4704
300,637196,33982,11986
444,44958,2025,547
527,972200,92276,16129
476,760087,37677,2895
